Tokenized_Sentence,Tagged_Sentence
``	Being	at	the	polls	was	just	like	being	at	church	.,.	VERB	ADP	DET	NOUN	VERB	ADV	ADP	VERB	ADP	NOUN	.
"I	didn't	smell	a	drop	of	liquor	,	and	we	didn't	have	a	bit	of	trouble	''	.",PRON	VERB	VERB	DET	NOUN	ADP	NOUN	.	CONJ	PRON	VERB	VERB	DET	NOUN	ADP	NOUN	.	.
"The	campaign	leading	to	the	election	was	not	so	quiet	,	however	.",DET	NOUN	VERB	ADP	DET	NOUN	VERB	ADV	ADV	ADJ	.	ADV	.
"It	was	marked	by	controversy	,	anonymous	midnight	phone	calls	and	veiled	threats	of	violence	.",PRON	VERB	VERB	ADP	NOUN	.	ADJ	NOUN	NOUN	NOUN	CONJ	VERB	NOUN	ADP	NOUN	.
"The	former	county	school	superintendent	,	George	P.	Callan	,	shot	himself	to	death	March	18	,	four	days	after	he	resigned	his	post	in	a	dispute	with	the	county	school	board	.",DET	ADJ	NOUN	NOUN	NOUN	.	NOUN	NOUN	NOUN	.	VERB	PRON	ADP	NOUN	NOUN	NUM	.	NUM	NOUN	ADP	PRON	VERB	DET	NOUN	ADP	DET	NOUN	ADP	DET	NOUN	NOUN	NOUN	.
"During	the	election	campaign	,	both	candidates	,	Davis	and	Bush	,	reportedly	received	anonymous	telephone	calls	.",ADP	DET	NOUN	NOUN	.	DET	NOUN	.	NOUN	CONJ	NOUN	.	ADV	VERB	ADJ	NOUN	NOUN	.
"Ordinary	Williams	said	he	,	too	,	was	subjected	to	anonymous	calls	soon	after	he	scheduled	the	election	.",NOUN	NOUN	VERB	PRON	.	ADV	.	VERB	VERB	ADP	ADJ	NOUN	ADV	ADP	PRON	VERB	DET	NOUN	.
"Many	local	citizens	feared	that	there	would	be	irregularities	at	the	polls	,	and	Williams	got	himself	a	permit	to	carry	a	gun	and	promised	an	orderly	election	.",ADJ	ADJ	NOUN	VERB	ADP	PRT	VERB	VERB	NOUN	ADP	DET	NOUN	.	CONJ	NOUN	VERB	PRON	DET	NOUN	PRT	VERB	DET	NOUN	CONJ	VERB	DET	ADJ	NOUN	.
Sheriff	Felix	Tabb	said	the	ordinary	apparently	made	good	his	promise	.,NOUN	NOUN	NOUN	VERB	DET	NOUN	ADV	VERB	ADJ	DET	NOUN	.
"``	Everything	went	real	smooth	''	,	the	sheriff	said	.",.	NOUN	VERB	ADV	ADJ	.	.	DET	NOUN	VERB	.
``	There	wasn't	a	bit	of	trouble	''	.,.	PRT	VERB	DET	NOUN	ADP	NOUN	.	.
"Austin	,	Texas",NOUN	.	NOUN
--	Committee	approval	of	Gov.	Price	Daniel's	``	abandoned	property	''	act	seemed	certain	Thursday	despite	the	adamant	protests	of	Texas	bankers	.,.	NOUN	NOUN	ADP	NOUN	NOUN	NOUN	.	VERB	NOUN	.	NOUN	VERB	ADJ	NOUN	ADP	DET	ADJ	NOUN	ADP	NOUN	NOUN	.
